date,Positive,Positive (low),Positive (high),Negative,Negative (low),Negative (high),Positive (under-50s),Positive (under-50s) (low),Positive (under-50s) (high),Negative (under-50s),Negative (under-50s) (low),Negative (under-50s) (high),Positive (over-50s),Positive (over-50s) (low),Positive (over-50s) (high),Negative (over-50s),Negative (over-50s) (low),Negative (over-50s) (high),Positive (poll),Negative (poll),Positive (under-50s) (poll),Negative (under-50s) (poll),Positive (over-50s) (poll),Negative (over-50s) (poll)
2024-08-01,36.31,34.46,38.13,38.07,33.47,42.54,40.42,38.7,42.25,31.78,27.9,35.63,33.13,31.06,35.04,43.23,38.78,47.68,42.0,31.0,45.0,26.0,39.0,36.0
2024-08-02,36.16,34.26,38.05,38.46,34.15,42.82,40.28,38.53,42.11,32.15,28.37,36.07,32.96,30.98,34.94,43.66,39.53,47.92,,,,,,
2024-08-03,36.01,34.07,37.84,38.86,34.6,43.13,40.14,38.38,42.0,32.53,28.9,36.51,32.8,30.77,34.71,44.09,40.12,48.26,,,,,,
2024-08-04,35.86,33.91,37.78,39.26,35.25,43.35,40.01,38.2,41.8,32.91,29.36,36.87,32.64,30.58,34.64,44.52,40.64,48.4,,,,,,
2024-08-05,35.72,33.77,37.71,39.65,35.64,43.59,39.88,38.02,41.68,33.28,29.8,37.32,32.49,30.36,34.59,44.95,41.14,48.79,37.0,53.0,46.0,40.0,34.0,57.0
2024-08-06,35.59,33.66,37.64,40.04,36.32,43.82,39.76,37.86,41.62,33.65,30.24,37.53,32.34,30.26,34.54,45.38,41.75,49.06,,,,,,
2024-08-07,35.46,33.56,37.57,40.42,36.83,44.14,39.65,37.74,41.55,34.01,30.7,37.72,32.2,30.17,34.49,45.79,42.12,49.45,31.5,37.5,35.5,31.5,28.5,42.5
2024-08-08,35.34,33.39,37.51,40.79,37.46,44.5,39.54,37.61,41.49,34.36,31.24,37.98,32.07,30.1,34.44,46.19,42.76,49.61,,,,,,
2024-08-09,35.23,33.31,37.44,41.14,37.85,44.82,39.44,37.49,41.44,34.69,31.61,38.21,31.94,29.91,34.4,46.57,43.12,49.85,,,,,,
2024-08-10,35.13,33.29,37.37,41.47,38.23,44.94,39.35,37.34,41.38,35.0,31.97,38.34,31.83,29.75,34.31,46.93,43.49,50.04,,,,,,
2024-08-11,35.03,33.14,37.3,41.79,38.69,45.22,39.26,37.29,41.31,35.29,32.38,38.63,31.72,29.67,34.11,47.26,43.86,50.32,,,,,,
2024-08-12,34.94,33.01,37.21,42.08,39.16,45.54,39.17,37.14,41.23,35.56,32.72,38.81,31.61,29.54,33.91,47.58,44.22,50.68,,,,,,
2024-08-13,34.85,32.99,37.12,42.35,39.42,45.8,39.09,37.05,41.16,35.82,33.03,38.95,31.51,29.37,33.75,47.88,44.51,51.01,,,,,,
2024-08-14,34.76,32.88,37.01,42.6,39.68,45.91,39.01,37.02,41.08,36.05,33.3,39.07,31.41,29.33,33.68,48.15,44.8,51.29,33.5,47.0,39.0,39.0,29.5,53.0
2024-08-15,34.68,32.73,36.89,42.84,39.95,46.03,38.93,36.96,40.99,36.27,33.55,39.27,31.32,29.28,33.59,48.4,45.08,51.56,,,,,,
2024-08-16,34.59,32.61,36.75,43.05,40.21,46.23,38.85,36.9,40.94,36.47,33.78,39.48,31.22,29.13,33.55,48.64,45.35,51.79,,,,,,
2024-08-17,34.5,32.49,36.62,43.25,40.48,46.39,38.76,36.88,40.86,36.66,34.0,39.69,31.12,29.04,33.51,48.86,45.6,52.0,,,,,,
2024-08-18,34.39,32.47,36.55,43.44,40.77,46.59,38.67,36.78,40.72,36.85,34.21,39.81,31.01,28.9,33.4,49.07,45.86,52.17,,,,,,
2024-08-19,34.28,32.45,36.4,43.63,41.04,46.75,38.56,36.61,40.6,37.02,34.41,39.9,30.89,28.73,33.2,49.28,46.11,52.33,,,,,,
2024-08-20,34.16,32.32,36.17,43.8,41.26,46.87,38.44,36.42,40.48,37.2,34.6,39.99,30.75,28.62,33.01,49.48,46.41,52.53,,,,,,
2024-08-21,34.02,32.2,35.97,43.98,41.54,46.99,38.31,36.31,40.4,37.37,34.76,40.11,30.61,28.51,32.83,49.67,46.72,52.76,,,,,,
2024-08-22,33.88,31.88,35.87,44.16,41.73,47.0,38.16,36.16,40.25,37.54,34.94,40.22,30.46,28.39,32.64,49.87,47.04,52.88,,,,,,
2024-08-23,33.72,31.82,35.8,44.33,41.94,47.07,38.0,35.94,40.17,37.72,35.1,40.32,30.29,28.27,32.52,50.06,47.21,52.95,,,,,,
2024-08-24,33.54,31.68,35.65,44.51,42.22,47.24,37.83,35.69,40.1,37.9,35.28,40.52,30.11,28.12,32.41,50.25,47.54,53.02,27.0,43.0,31.0,37.0,24.0,48.0
2024-08-25,33.36,31.5,35.51,44.69,42.44,47.39,37.65,35.49,40.0,38.08,35.45,40.71,29.92,27.83,32.23,50.45,47.81,53.08,,,,,,
2024-08-26,33.17,31.21,35.39,44.87,42.63,47.51,37.45,35.27,39.88,38.26,35.63,40.95,29.72,27.54,32.09,50.64,48.12,53.2,,,,,,
2024-08-27,32.97,30.95,35.31,45.05,42.7,47.62,37.24,35.0,39.75,38.46,35.81,41.11,29.52,27.24,31.95,50.85,48.26,53.47,,,,,,
2024-08-28,32.76,30.56,35.19,45.25,42.85,47.73,37.03,34.68,39.61,38.66,36.0,41.26,29.3,27.06,31.89,51.07,48.42,53.72,38.0,52.0,42.0,46.0,35.0,57.0
2024-08-29,32.54,30.16,35.07,45.46,43.15,47.85,36.8,34.36,39.46,38.86,36.21,41.4,29.07,26.76,31.66,51.3,48.63,53.9,28.0,44.0,32.0,38.0,25.0,49.0
2024-08-30,32.32,29.81,34.87,45.68,43.34,47.99,36.57,34.06,39.3,39.08,36.42,41.47,28.84,26.41,31.54,51.55,48.99,54.19,,,,,,
2024-08-31,32.09,29.57,34.74,45.91,43.59,48.19,36.34,33.79,39.11,39.3,36.67,41.67,28.6,26.24,31.37,51.81,49.2,54.38,,,,,,
2024-09-01,31.86,29.34,34.61,46.15,43.81,48.26,36.11,33.45,38.71,39.53,36.96,41.84,28.36,25.86,31.3,52.09,49.38,54.6,,,,,,
2024-09-02,31.64,29.1,34.48,46.4,44.02,48.48,35.88,33.16,38.55,39.76,37.27,42.01,28.13,25.5,31.15,52.37,49.58,54.85,31.5,45.0,35.0,38.5,26.5,54.5
2024-09-03,31.43,28.8,34.18,46.66,44.5,48.71,35.65,32.91,38.4,40.0,37.59,42.2,27.9,25.25,30.75,52.67,50.16,55.08,,,,,,
2024-09-04,31.22,28.45,34.08,46.92,44.76,49.0,35.44,32.62,38.26,40.23,37.89,42.36,27.67,24.97,30.59,52.97,50.59,55.3,39.0,46.0,43.0,40.0,36.0,51.0
2024-09-05,31.02,28.19,33.97,47.18,45.05,49.24,35.24,32.4,38.08,40.46,38.22,42.57,27.46,24.68,30.46,53.27,50.85,55.57,,,,,,
2024-09-06,30.84,27.94,33.8,47.43,45.29,49.42,35.05,32.22,37.97,40.68,38.57,42.83,27.26,24.42,30.32,53.57,51.17,55.87,39.0,46.0,43.0,40.0,36.0,51.0
2024-09-07,30.67,27.74,33.7,47.68,45.66,49.66,34.88,31.99,37.83,40.88,38.8,43.06,27.07,24.2,30.22,53.86,51.48,56.09,,,,,,
2024-09-08,30.51,27.49,33.63,47.92,45.8,49.94,34.73,31.88,37.76,41.08,38.96,43.28,26.89,23.95,30.12,54.14,51.76,56.35,,,,,,
2024-09-09,30.36,27.39,33.57,48.15,45.94,50.14,34.58,31.7,37.64,41.27,39.16,43.47,26.73,23.73,30.02,54.42,52.1,56.66,,,,,,
2024-09-10,30.22,27.19,33.41,48.38,46.16,50.47,34.45,31.56,37.53,41.44,39.33,43.64,26.57,23.58,29.93,54.69,52.21,57.03,,,,,,
2024-09-11,30.08,26.99,33.24,48.61,46.3,50.79,34.32,31.42,37.48,41.61,39.57,43.75,26.41,23.39,29.78,54.95,52.46,57.33,,,,,,
2024-09-12,29.94,26.82,33.09,48.83,46.42,51.1,34.19,31.25,37.34,41.77,39.76,43.91,26.25,23.27,29.63,55.21,52.67,57.65,,,,,,
2024-09-13,29.8,26.65,32.93,49.04,46.57,51.38,34.08,31.09,37.18,41.92,39.82,44.04,26.1,23.16,29.48,55.46,52.87,58.0,,,,,,
2024-09-14,29.67,26.49,32.76,49.25,46.75,51.63,33.96,30.98,37.07,42.06,39.97,44.16,25.95,23.09,29.33,55.71,53.13,58.32,,,,,,
2024-09-15,29.53,26.43,32.69,49.45,46.83,51.83,33.84,30.94,36.95,42.2,40.04,44.32,25.79,23.04,29.18,55.95,53.31,58.62,,,,,,
2024-09-16,29.39,26.4,32.5,49.65,47.04,52.08,33.73,30.91,36.85,42.33,40.15,44.57,25.64,22.93,29.02,56.18,53.41,58.89,,,,,,
2024-09-17,29.25,26.36,32.37,49.85,47.21,52.4,33.61,30.78,36.71,42.46,40.24,44.72,25.48,22.71,28.89,56.42,53.56,59.16,,,,,,
2024-09-18,29.1,26.24,32.28,50.06,47.3,52.62,33.49,30.66,36.62,42.59,40.32,44.82,25.32,22.5,28.67,56.65,53.75,59.4,24.0,50.0,28.0,44.0,21.0,55.0
2024-09-19,28.95,26.13,32.13,50.26,47.42,52.8,33.36,30.55,36.58,42.72,40.41,44.95,25.15,22.29,28.48,56.89,53.96,59.67,,,,,,
2024-09-20,28.79,25.99,31.97,50.46,47.48,53.02,33.23,30.42,36.39,42.84,40.48,45.09,24.98,22.14,28.33,57.12,54.18,59.99,,,,,,
2024-09-21,28.63,25.91,31.71,50.67,47.65,53.32,33.09,30.32,36.23,42.98,40.54,45.24,24.8,22.01,28.14,57.36,54.42,60.32,,,,,,
2024-09-22,28.45,25.84,31.45,50.88,47.84,53.61,32.95,30.27,36.1,43.11,40.56,45.43,24.61,21.85,27.93,57.6,54.64,60.64,,,,,,
2024-09-23,28.27,25.67,31.24,51.09,47.99,53.83,32.79,30.15,35.94,43.25,40.57,45.52,24.41,21.64,27.73,57.85,54.86,60.85,,,,,,
2024-09-24,28.07,25.48,31.08,51.31,48.1,54.06,32.61,29.95,35.79,43.39,40.61,45.7,24.21,21.52,27.58,58.1,55.07,60.99,21.0,48.0,25.0,42.0,18.0,53.0
2024-09-25,27.87,25.34,30.89,51.53,48.25,54.28,32.43,29.84,35.61,43.54,40.66,45.9,23.99,21.29,27.35,58.35,55.24,61.19,23.0,53.0,27.0,47.0,20.0,58.0
2024-09-26,27.65,25.16,30.65,51.75,48.42,54.58,32.22,29.64,35.36,43.7,40.69,46.1,23.76,21.05,27.11,58.61,55.35,61.45,,,,,,
2024-09-27,27.42,24.96,30.39,51.98,48.65,54.81,32.01,29.4,35.09,43.86,40.77,46.31,23.52,20.86,26.85,58.88,55.67,61.73,,,,,,
2024-09-28,27.18,24.82,30.1,52.21,48.85,55.0,31.78,29.14,34.78,44.02,40.89,46.56,23.27,20.69,26.57,59.14,55.84,61.96,,,,,,
2024-09-29,26.93,24.6,29.79,52.43,49.02,55.2,31.55,29.01,34.55,44.18,41.02,46.8,23.02,20.54,26.27,59.41,56.05,62.23,,,,,,
2024-09-30,26.69,24.41,29.52,52.66,49.25,55.59,31.31,28.82,34.32,44.35,41.15,47.01,22.77,20.34,25.92,59.67,56.26,62.57,,,,,,
2024-10-01,26.45,24.26,29.26,52.88,49.52,55.87,31.07,28.7,34.13,44.51,41.27,47.17,22.52,20.19,25.54,59.94,56.43,62.87,,,,,,
2024-10-02,26.21,24.16,28.89,53.1,49.77,56.01,30.83,28.57,33.89,44.68,41.39,47.32,22.28,20.06,25.24,60.2,56.62,63.12,,,,,,
2024-10-03,25.98,24.07,28.47,53.31,49.99,56.13,30.61,28.44,33.51,44.83,41.52,47.5,22.05,19.96,24.89,60.46,56.79,63.34,25.0,52.0,30.0,37.0,17.0,65.0
2024-10-04,25.77,24.01,28.05,53.51,50.21,56.47,30.4,28.32,33.25,44.97,41.63,47.67,21.83,19.83,24.6,60.72,57.08,63.59,27.0,63.0,33.0,52.0,25.0,69.0
2024-10-05,25.59,23.9,27.98,53.71,50.46,56.7,30.21,28.19,32.99,45.1,41.79,47.84,21.63,19.64,24.26,60.98,57.42,63.85,,,,,,
2024-10-06,25.42,23.86,27.66,53.88,50.65,56.82,30.04,28.02,32.79,45.21,41.92,47.97,21.45,19.41,23.93,61.22,57.77,64.11,,,,,,
2024-10-07,25.29,23.67,27.34,54.03,50.82,56.94,29.91,27.88,32.6,45.3,42.02,48.03,21.3,19.28,23.57,61.45,58.14,64.27,30.0,61.0,37.0,52.0,25.0,68.0
2024-10-08,25.18,23.61,27.07,54.16,50.97,57.02,29.8,27.75,32.38,45.36,42.1,48.15,21.16,19.22,23.27,61.67,58.29,64.45,,,,,,
2024-10-09,25.1,23.49,26.95,54.27,51.1,57.09,29.73,27.67,32.31,45.39,42.15,48.1,21.05,19.16,23.01,61.88,58.44,64.59,,,,,,
2024-10-10,25.05,23.37,26.89,54.36,51.23,57.28,29.68,27.55,32.26,45.39,42.22,48.15,20.97,19.1,22.86,62.07,58.57,64.71,,,,,,
2024-10-11,25.02,23.37,26.83,54.42,51.29,57.29,29.67,27.53,32.12,45.37,42.29,48.09,20.91,19.01,22.76,62.24,58.68,64.89,,,,,,
2024-10-12,25.02,23.38,26.82,54.46,51.28,57.26,29.68,27.53,32.09,45.33,42.32,47.98,20.87,18.91,22.73,62.39,58.83,64.97,,,,,,
2024-10-13,25.04,23.4,26.83,54.49,51.3,57.18,29.7,27.63,32.1,45.28,42.25,47.88,20.85,18.93,22.74,62.53,59.0,65.08,,,,,,
2024-10-14,25.06,23.43,26.82,54.51,51.35,57.17,29.75,27.7,32.07,45.21,42.09,47.95,20.84,18.86,22.74,62.66,59.21,65.25,,,,,,
2024-10-15,25.09,23.46,26.78,54.52,51.41,57.15,29.8,27.83,32.12,45.14,41.87,47.91,20.84,18.82,22.72,62.78,59.59,65.37,,,,,,
2024-10-16,25.13,23.5,26.75,54.52,51.48,57.13,29.85,27.89,32.16,45.05,41.64,47.96,20.83,18.83,22.73,62.9,59.92,65.34,21.0,53.0,26.0,43.0,17.0,61.0
2024-10-17,25.16,23.52,26.72,54.52,51.51,57.13,29.9,27.95,32.12,44.97,41.46,47.99,20.83,18.87,22.75,63.01,60.02,65.36,,,,,,
2024-10-18,25.19,23.55,26.72,54.52,51.56,57.14,29.95,28.04,32.11,44.88,41.39,47.98,20.82,18.88,22.73,63.11,60.26,65.5,,,,,,
2024-10-19,25.22,23.61,26.75,54.51,51.59,57.05,30.0,28.11,32.17,44.78,41.2,47.89,20.81,18.86,22.75,63.21,60.4,65.57,,,,,,
2024-10-20,25.24,23.68,26.78,54.49,51.6,56.97,30.05,28.19,32.25,44.69,41.01,47.95,20.8,18.83,22.67,63.3,60.63,65.68,,,,,,
2024-10-21,25.26,23.73,26.76,54.47,51.61,56.9,30.09,28.23,32.31,44.59,40.81,48.03,20.79,18.8,22.67,63.38,60.78,65.79,,,,,,
2024-10-22,25.28,23.77,26.74,54.44,51.6,56.81,30.12,28.2,32.38,44.49,40.62,47.95,20.77,18.77,22.69,63.45,61.03,65.85,,,,,,
2024-10-23,25.3,23.82,26.79,54.4,51.63,56.74,30.15,28.16,32.44,44.39,40.34,47.87,20.76,18.8,22.67,63.51,61.17,65.95,,,,,,
2024-10-24,25.31,23.87,26.85,54.35,51.59,56.66,30.17,28.12,32.5,44.28,40.1,47.79,20.74,18.84,22.64,63.55,61.19,66.03,,,,,,
2024-10-25,25.31,23.8,26.89,54.3,51.51,56.59,30.19,28.14,32.55,44.18,39.97,47.77,20.72,18.85,22.61,63.58,61.19,66.11,,,,,,
2024-10-26,25.31,23.8,26.91,54.23,51.43,56.51,30.19,28.2,32.51,44.07,39.93,47.77,20.7,18.83,22.63,63.6,61.23,66.09,,,,,,
2024-10-27,25.31,23.86,26.89,54.16,51.37,56.44,30.19,28.18,32.44,43.96,39.69,47.78,20.68,18.82,22.67,63.6,61.26,66.01,,,,,,
2024-10-28,25.3,23.89,26.84,54.08,51.32,56.35,30.18,28.16,32.44,43.86,39.45,47.83,20.65,18.8,22.71,63.59,61.26,65.93,27.0,52.0,27.0,48.0,24.0,62.0
2024-10-29,25.29,23.86,26.81,54.0,51.26,56.29,30.17,28.13,32.55,43.76,39.29,47.82,20.63,18.8,22.72,63.57,61.26,65.94,,,,,,
2024-10-30,25.28,23.84,26.79,53.91,51.2,56.25,30.14,28.11,32.61,43.67,39.32,47.84,20.61,18.8,22.69,63.54,61.27,65.94,,,,,,
2024-10-31,25.26,23.82,26.75,53.83,51.15,56.16,30.12,28.12,32.59,43.59,39.32,47.83,20.58,18.82,22.67,63.5,61.29,66.0,,,,,,
2024-11-01,25.25,23.81,26.69,53.74,51.09,56.13,30.08,28.12,32.56,43.52,39.25,47.81,20.56,18.84,22.64,63.45,61.23,66.02,,,,,,
2024-11-02,25.23,23.82,26.62,53.67,51.03,56.13,30.04,28.1,32.53,43.46,39.24,47.92,20.54,18.84,22.58,63.4,61.21,66.03,,,,,,
2024-11-03,25.2,23.83,26.55,53.59,51.05,56.14,29.99,28.03,32.4,43.41,39.18,48.08,20.52,18.84,22.5,63.35,61.08,65.84,,,,,,
2024-11-04,25.18,23.85,26.51,53.53,50.98,56.22,29.95,27.99,32.25,43.38,39.14,48.24,20.49,18.78,22.44,63.3,60.98,65.7,,,,,,
2024-11-05,25.15,23.76,26.47,53.48,50.88,56.2,29.9,28.02,32.08,43.35,38.89,48.38,20.47,18.74,22.38,63.26,60.86,65.72,,,,,,
2024-11-06,25.13,23.81,26.47,53.45,50.88,56.29,29.85,28.0,31.9,43.35,38.69,48.52,20.45,18.68,22.3,63.22,60.77,65.75,,,,,,
2024-11-07,25.1,23.71,26.48,53.43,50.91,56.38,29.8,27.94,31.69,43.35,38.49,48.62,20.42,18.6,22.26,63.2,60.69,65.77,,,,,,
2024-11-08,25.08,23.65,26.46,53.44,50.94,56.42,29.76,27.96,31.53,43.38,38.41,48.71,20.4,18.52,22.31,63.19,60.76,65.71,28.0,61.0,31.0,52.0,24.0,70.0
2024-11-09,25.05,23.47,26.37,53.46,50.91,56.49,29.72,27.89,31.52,43.42,38.49,48.77,20.37,18.49,22.32,63.19,60.73,65.66,24.0,48.0,33.0,31.0,17.0,61.0
2024-11-10,25.03,23.43,26.34,53.52,50.88,56.64,29.69,27.88,31.47,43.49,38.38,48.83,20.35,18.43,22.32,63.21,60.62,65.65,,,,,,
2024-11-11,25.01,23.37,26.32,53.59,50.95,56.7,29.66,27.84,31.46,43.58,38.77,48.93,20.33,18.32,22.3,63.25,60.6,65.66,23.0,52.0,27.0,45.0,19.0,58.0
2024-11-12,24.99,23.36,26.32,53.69,50.91,56.85,29.64,27.7,31.45,43.69,39.02,49.02,20.31,18.23,22.33,63.3,60.66,65.74,,,,,,
2024-11-13,24.96,23.36,26.3,53.81,50.96,57.01,29.62,27.66,31.44,43.82,39.14,49.11,20.28,18.18,22.3,63.36,60.7,65.81,25.0,50.0,32.0,36.0,19.0,64.0
2024-11-14,24.94,23.35,26.29,53.94,51.08,57.17,29.59,27.59,31.42,43.96,39.23,49.18,20.26,18.13,22.2,63.42,60.76,65.86,,,,,,
2024-11-15,24.91,23.28,26.27,54.09,51.24,57.27,29.57,27.52,31.34,44.13,39.53,49.22,20.23,18.09,22.16,63.49,60.84,65.92,,,,,,
2024-11-16,24.87,23.2,26.26,54.24,51.32,57.37,29.54,27.45,31.31,44.3,39.61,49.32,20.2,18.1,22.11,63.57,60.94,65.98,,,,,,
2024-11-17,24.83,23.09,26.19,54.41,51.52,57.6,29.51,27.32,31.19,44.49,39.74,49.49,20.16,18.12,22.1,63.66,61.05,66.0,,,,,,
2024-11-18,24.78,23.01,26.13,54.58,51.69,57.74,29.47,27.21,31.21,44.7,40.04,49.68,20.12,18.13,22.03,63.75,61.18,66.11,,,,,,
2024-11-19,24.73,22.97,26.06,54.77,51.81,57.9,29.42,27.22,31.13,44.91,40.4,49.88,20.07,18.14,21.93,63.86,61.3,66.2,,,,,,
2024-11-20,24.67,22.94,25.99,54.95,52.04,58.05,29.36,27.14,31.04,45.14,40.66,50.05,20.02,18.15,21.86,63.96,61.43,66.27,,,,,,
2024-11-21,24.61,22.9,25.97,55.14,52.3,58.15,29.31,27.06,30.96,45.37,41.02,50.2,19.96,18.16,21.81,64.07,61.56,66.36,,,,,,
2024-11-22,24.54,22.87,25.97,55.32,52.55,58.25,29.24,26.98,30.88,45.6,41.42,50.31,19.91,18.16,21.76,64.18,61.71,66.53,,,,,,
2024-11-23,24.48,22.79,25.95,55.51,52.69,58.5,29.18,26.9,30.83,45.84,41.74,50.41,19.85,18.11,21.71,64.3,61.82,66.54,,,,,,
2024-11-24,24.41,22.71,25.86,55.69,52.8,58.51,29.11,26.92,30.78,46.08,41.88,50.53,19.8,18.05,21.61,64.41,61.94,66.73,,,,,,
2024-11-25,24.34,22.63,25.76,55.88,52.92,58.78,29.04,26.86,30.65,46.32,42.19,50.65,19.74,18.01,21.52,64.53,62.09,66.92,,,,,,
2024-11-26,24.28,22.55,25.72,56.07,53.15,58.92,28.97,26.84,30.59,46.57,42.39,50.75,19.69,17.96,21.47,64.65,62.17,67.13,,,,,,
2024-11-27,24.22,22.49,25.72,56.26,53.42,59.1,28.9,26.84,30.56,46.83,42.61,50.92,19.64,17.93,21.31,64.77,62.31,67.33,,,,,,
2024-11-28,24.16,22.43,25.65,56.45,53.63,59.28,28.83,26.77,30.53,47.1,42.91,51.11,19.6,17.83,21.22,64.9,62.44,67.51,,,,,,
2024-11-29,24.11,22.38,25.63,56.65,53.83,59.38,28.76,26.7,30.46,47.38,43.25,51.29,19.56,17.83,21.14,65.04,62.56,67.73,,,,,,
2024-11-30,24.06,22.29,25.59,56.86,54.01,59.46,28.69,26.64,30.44,47.67,43.65,51.46,19.53,17.86,21.13,65.18,62.63,67.8,,,,,,
2024-12-01,24.02,22.3,25.61,57.08,54.21,59.6,28.62,26.58,30.38,47.98,44.12,51.63,19.51,17.82,21.1,65.34,62.75,67.99,,,,,,
2024-12-02,23.98,22.29,25.55,57.3,54.43,59.81,28.54,26.53,30.29,48.29,44.64,51.82,19.49,17.85,21.06,65.49,62.95,68.17,,,,,,
2024-12-03,23.94,22.28,25.56,57.52,54.74,60.02,28.47,26.47,30.19,48.62,45.22,51.89,19.47,17.89,21.11,65.65,63.03,68.41,,,,,,
